FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population,Total Hospitals (2019),deaths
1003,3.0,114.6,4.505074295,92
1015,3.0,195.7,2.361350576,60
1043,4.0,109.4,1.724194849,18
1049,6.0,91.5,1.475056318,43
1051,2.0,128.2,1.692063273,34
1055,3.0,195.2,2.1180184580000003,252
1069,3.0,175.1,2.163911854,86
1073,1.0,592.5,13.62337508,1000
1077,3.0,138.8,1.9090289,102
1081,3.0,230.8,3.3875773319999998,591
1083,2.0,147.8,1.98728117,0
1089,2.0,417.7,7.573526182999999,125
1095,4.0,164.4,1.98593805,134
1097,2.0,335.9,8.549623548,1188
1101,2.0,292.5,4.665029621,163
1103,3.0,206.3,2.460782823,0
1115,1.0,132.3,1.832636336,2
1117,1.0,248.5,4.45723854,292
1121,4.0,111.7,1.6495173459999999,42
1125,3.0,147.3,4.31681012,26
1127,1.0,84.7,1.316485439,0
4001,6.0,6.4,0.831175158,142
4003,3.0,21.3,1.467154123,0
4005,3.0,7.2,1.653299954,1040
4013,1.0,414.9,51.04802886,3258
4015,3.0,15.0,2.425196391,151
4017,4.0,10.8,1.278219115,462
4019,2.0,106.7,12.02555996,1910
4021,1.0,70.0,5.17488649,207
4025,3.0,26.0,2.684937182,30
4027,3.0,35.5,2.455032499,22
5007,2.0,261.2,7.95981983,0
5031,3.0,136.4,3.169760686,11
5045,2.0,174.8,3.644182393,63
5051,3.0,141.7,2.8951754000000003,2
5069,3.0,88.9,1.988845404,269
5085,2.0,88.7,2.150694217,0
5119,2.0,503.8,11.46577522,425
5125,2.0,148.0,3.545344537,29
5131,2.0,236.4,3.730231185,0
5143,2.0,215.6,6.918971075,43
5145,4.0,74.5,2.29873201,17
6001,1.0,2043.6,15.12661846,1456
6007,3.0,134.4,2.098764051,0
6013,1.0,1465.2,10.43877734,676
6017,1.0,106.0,1.730498373,0
6019,2.0,156.2,9.024678158,205
6023,5.0,37.7,1.237653293,0
6025,3.0,41.8,1.6501711140000002,189
6029,2.0,103.3,8.138582546,167
6031,3.0,110.1,1.373722279,26
6033,4.0,51.5,0.584298903,0
6037,1.0,2419.6,91.71263834,23976
6039,3.0,70.6,1.4309523880000001,74
6041,1.0,485.1,2.356599033,391
6045,4.0,25.1,0.795068337,0
6047,2.0,132.2,2.493630022,92
6053,2.0,126.5,3.953233767,144
6055,3.0,182.4,1.265279118,70
6057,4.0,103.1,0.904791144,34
6059,1.0,3807.7,28.91425565,1212
6061,1.0,247.6,3.5680241280000002,261
6065,1.0,303.8,22.24185659,3313
6067,1.0,1470.8,13.9851201,1262
6071,1.0,101.5,19.70838512,2058
6073,1.0,735.8,30.3427032,2878
6075,1.0,17179.2,8.016435377999999,716
6077,2.0,492.6,6.830766555,735
6079,2.0,81.7,2.577533029,33
6081,1.0,1602.2,6.984006389,1240
6083,2.0,155.0,4.052456219,162
6085,1.0,1381.0,17.584418399999997,3128
6087,2.0,589.4,2.4890015169999997,64
6089,3.0,46.9,1.6339531930000002,124
6095,2.0,503.0,4.053209485,110
6097,2.0,307.1,4.537224103,87
6099,2.0,344.2,4.989846562,196
6101,3.0,157.3,0.8785720220000001,74
6107,2.0,91.7,4.227921954,792
6111,2.0,446.7,7.722951827999999,492
6113,1.0,197.9,2.0003130159999998,339
6115,3.0,114.2,0.708261171,27
8001,1.0,378.2,7.9985497489999995,1442
8005,1.0,716.7,10.176013300000001,2950
8013,2.0,405.6,5.095358774,775
8014,1.0,1691.9,1.0823797259999999,190
8031,1.0,3922.6,11.196044500000001,3307
8035,1.0,339.7,5.3562849969999995,528
8041,2.0,292.6,11.15485385,1922
8059,1.0,699.5,9.066834645,1694
8069,2.0,115.4,5.477263007,486
8077,3.0,44.1,2.3940426269999997,0
8101,3.0,66.7,2.617841007,229
8123,2.0,63.4,4.911391567,2386
9001,2.0,1467.2,8.4537274,18090
9003,1.0,1216.2,7.995796975,13652
9005,4.0,206.3,1.622192957,1822
9007,1.0,448.6,1.4571262630000001,1658
9009,2.0,1426.7,7.681615825,10800
9011,2.0,412.2,2.389557375,704
9013,1.0,372.2,1.351784172,989
9015,2.0,230.9,1.048199033,76
12001,2.0,282.7,2.7503431210000002,53
12005,3.0,222.6,1.8877255030000002,66
12009,2.0,535.0,6.08076702,198
12011,1.0,1444.9,19.87966379,4561
12015,3.0,235.2,1.8847811369999998,405
12017,3.0,242.8,1.507117855,283
12019,1.0,315.8,2.201366663,453
12021,2.0,160.9,3.856079758,397
12023,4.0,84.7,0.718292763,20
12031,1.0,1133.9,9.680554525,614
12033,2.0,453.4,3.214697085,265
12035,2.0,197.1,1.141751628,71
12053,1.0,365.6,1.944554816,97
12055,3.0,97.2,1.074071972,203
12057,1.0,1204.9,14.63918204,662
12061,3.0,274.5,1.60374195,129
12069,1.0,316.6,3.6320125169999997,258
12071,2.0,788.7,7.688054434,1090
12073,2.0,413.1,2.9800443910000003,65
12081,2.0,434.5,4.022828658,1137
12083,2.0,209.1,3.667487538,112
12085,2.0,269.2,1.639390168,130
12086,1.0,1315.5,28.13530837,7674
12087,4.0,74.3,0.7643838009999999,99
12089,1.0,113.0,0.8744663970000001,6
12091,3.0,194.4,2.111680675,90
12095,1.0,1268.5,14.06617182,858
12097,1.0,202.4,3.749124914,219
12099,1.0,670.2,15.13893971,4537
12101,1.0,622.2,5.497813194,164
12103,1.0,3347.5,9.936266055,811
12105,2.0,334.9,7.213278026,522
12107,4.0,102.2,0.7555812679999999,47
12109,1.0,316.4,2.590440636,128
12111,2.0,485.7,3.2716894080000003,508
12113,2.0,149.6,1.827228469,212
12115,2.0,682.6,4.347452607,942
12117,1.0,1367.0,4.76632682,170
12119,3.0,170.8,1.311760725,360
12127,2.0,449.2,5.578380817,454
12131,3.0,53.0,0.7271768,4
13013,1.0,432.7,1.11386785,124
13015,1.0,217.9,1.4667233869999998,784
13031,4.0,104.4,1.065444806,45
13045,1.0,221.5,1.628174885,322
13047,2.0,394.3,0.929314438,0
13051,2.0,621.7,3.98625169,228
13057,1.0,508.3,3.5031791039999995,338
13059,3.0,979.1,1.7551113530000002,439
13063,1.0,1832.5,3.992040953,687
13067,1.0,2026.4,10.43259526,2200
13073,2.0,427.6,2.126740641,62
13077,1.0,288.8,2.0105832280000002,123
13089,1.0,2585.7,10.42836358,1063
13095,3.0,287.7,1.2576896659999999,3365
13097,1.0,661.8,2.003236378,272
13113,1.0,548.3,1.5639140740000002,268
13115,3.0,188.9,1.34982164,287
13117,1.0,783.5,3.261449835,225
13121,1.0,1748.0,14.47472711,2899
13127,3.0,189.7,1.174655104,15
13135,1.0,1871.2,12.788494199999999,1387
13139,3.0,457.5,2.7863995110000004,328
13151,1.0,633.0,3.173342776,289
13153,3.0,372.5,2.142978143,382
13157,4.0,178.1,0.97069388,40
13185,3.0,220.2,1.603363761,108
13215,2.0,877.5,2.676293256,155
13217,1.0,367.3,1.509908527,159
13223,1.0,455.8,2.261175581,183
13245,2.0,618.4,2.77821184,338
13247,1.0,656.5,1.2487438770000001,177
13255,1.0,326.1,0.9111196140000001,229
13285,4.0,161.9,0.9653457040000001,131
13295,2.0,154.0,0.956744514,0
13297,1.0,257.2,1.288841411,99
13313,3.0,353.2,1.4343862219999999,126
17001,5.0,78.5,0.9641425220000001,7
17019,3.0,201.8,3.081906793,129
17031,1.0,5495.1,76.03375781,35278
17037,1.0,166.6,1.5285000169999998,32
17043,1.0,2799.8,13.62884018,3640
17089,1.0,990.8,7.840653382999999,1267
17091,3.0,167.7,1.614815071,533
17093,1.0,358.2,1.877400111,153
17097,1.0,1585.6,10.28606555,2966
17099,4.0,100.4,1.606096971,42
17111,1.0,511.9,4.528861761,714
17113,3.0,143.3,2.536585282,106
17115,3.0,190.8,1.5368511930000002,240
17119,1.0,376.3,3.881476845,379
17143,2.0,301.2,2.650962634,64
17161,2.0,345.0,2.105802569,188
17163,1.0,410.6,3.8315459130000002,646
17167,3.0,227.4,2.867109853,216
17179,2.0,208.6,1.942169424,86
17183,3.0,90.9,1.127276652,9
17197,1.0,809.6,10.16098871,3601
17199,3.0,157.9,0.9841765379999999,0
17201,2.0,575.2,4.169438305,253
18003,2.0,540.6,7.403950281,907
18005,3.0,188.7,1.632336393,271
18011,1.0,133.9,1.321582372,422
18019,1.0,295.6,2.314973465,390
18035,3.0,300.1,2.2639241180000003,282
18039,3.0,426.5,4.054754136000001,196
18043,1.0,504.1,1.5342616830000002,329
18053,4.0,169.2,1.300614267,183
18057,1.0,696.4,6.511079849,1378
18059,1.0,228.8,1.506054354,253
18063,1.0,357.4,3.29432007,758
18067,3.0,282.4,1.6247026619999998,181
18081,1.0,435.8,3.081601308,1375
18085,4.0,145.6,1.56509249,29
18089,1.0,994.1,9.555202889,1855
18091,3.0,186.3,2.169932566,167
18095,1.0,291.3,2.557221157,1113
18097,1.0,2279.6,18.83125185,7312
18105,3.0,349.7,2.897997244,145
18109,1.0,170.5,1.383066458,131
18127,1.0,393.0,3.34531024,124
18141,2.0,583.0,5.341067485,351
18157,3.0,345.7,3.8079498760000003,65
18163,2.0,769.7,3.569785343,35
18167,3.0,267.4,2.118232281,151
18177,5.0,171.5,1.300614267,66
19013,3.0,231.7,4.950388528,200
19049,2.0,112.4,3.371594144,11
19061,3.0,154.0,3.6211175339999997,77
19103,3.0,213.1,5.655215461,118
19113,2.0,294.6,8.446146169,956
19153,2.0,750.5,18.21528225,652
19155,2.0,98.0,3.496954037,32
19163,2.0,360.7,6.478597783,119
19169,3.0,156.3,3.66788915,10
19193,3.0,117.1,3.833664803,27
20015,2.0,46.1,3.187470054,0
20045,3.0,243.1,5.797552812,0
20091,1.0,1149.6,28.52825085,980
20103,1.0,164.7,3.883877239,91
20161,3.0,116.6,3.5187014960000003,0
20173,2.0,499.6,24.52043634,206
20177,3.0,327.1,8.474091922000001,156
20209,1.0,1039.0,7.892837553,1355
21015,1.0,482.3,3.090806288,64
21029,1.0,250.2,1.904986391,71
21037,1.0,597.0,2.188916754,197
21047,2.0,103.1,1.6841490540000001,87
21059,3.0,210.9,2.375775501,96
21093,3.0,169.3,2.5931820819999998,5
21111,1.0,1948.1,18.10586536,2192
21117,1.0,996.7,3.901921761,465
21145,5.0,263.6,1.535522095,55
21151,4.0,189.6,2.17049406,33
21185,1.0,322.2,1.5619342219999999,0
21227,3.0,210.1,3.084485237,7
22005,2.0,369.7,4.227096351,1041
22015,2.0,139.3,4.312301474,394
22017,2.0,290.2,8.236450043,2521
22019,3.0,181.2,6.886662555,672
22033,2.0,966.6,14.95093925,3138
22045,2.0,127.6,2.405307064,415
22051,1.0,1463.1,14.71682012,9595
22055,2.0,824.6,8.23170324,542
22057,3.0,90.2,3.326661628,998
22063,2.0,197.5,4.73212234,292
22071,1.0,2029.4,13.25734757,12285
22073,3.0,251.8,5.2375891039999996,429
22079,3.0,99.9,4.426801157,270
22097,4.0,90.3,2.8061746210000003,861
22103,1.0,276.4,8.75144432,2502
22105,3.0,153.0,4.5358081089999995,538
22109,3.0,90.8,3.764249102,759
24001,3.0,177.0,0.587277116,120
24003,1.0,1295.9,4.766323697,1823
24005,1.0,1345.5,6.854787862,2424
24009,1.0,416.3,0.761271666,166
24013,1.0,373.4,1.3936526580000002,1107
24015,1.0,292.0,0.8508257379999999,158
24017,1.0,320.2,1.336344009,848
24021,1.0,353.5,2.115339488,1123
24025,1.0,560.1,2.101339166,248
24027,1.0,1144.9,2.674260159,447
24031,1.0,1978.2,8.709383757000001,4771
24033,1.0,1788.8,7.523998307,4791
24037,3.0,294.4,0.932229503,125
24043,2.0,322.1,1.248825446,89
24045,2.0,263.7,0.8538789990000001,141
25001,3.0,548.3,2.318984276,933
25003,3.0,141.6,1.372920231,915
25005,1.0,991.3,6.128765114,3425
25009,1.0,1508.8,8.591215576,8670
25011,4.0,102.1,0.771096799,986
25013,2.0,751.0,5.111516717,7766
25015,2.0,299.8,1.7533126280000002,558
25017,1.0,1837.9,17.54577451,15958
25021,1.0,1693.6,7.66487365,9609
25023,1.0,750.9,5.63011607,5405
25025,1.0,12415.6,8.771746307,9883
25027,2.0,528.6,9.028046917000001,5111
26005,4.0,135.0,1.690199246,23
26017,3.0,243.7,1.497102766,97
26021,3.0,276.2,2.22053749,337
26025,3.0,192.8,1.93740423,245
26037,2.0,133.1,1.142847653,215
26045,2.0,187.4,1.582140704,165
26049,2.0,668.5,5.86163928,4225
26055,5.0,187.3,1.333595974,144
26065,2.0,505.1,4.217106688,249
26073,4.0,122.8,1.016508044,190
26075,3.0,228.4,2.287985842,447
26077,2.0,445.7,3.8156867080000003,378
26081,2.0,711.5,9.418365802,814
26087,1.0,137.4,1.268121228,562
26091,4.0,133.3,1.415608676,19
26093,1.0,320.2,2.7547509160000003,385
26099,1.0,1754.9,12.60167739,14141
26103,5.0,37.1,0.958221834,185
26111,3.0,162.0,1.198699269,99
26115,3.0,276.7,2.167206904,294
26121,3.0,344.9,2.500688731,349
26125,1.0,1385.7,18.13990455,17447
26139,2.0,468.2,4.1848231,227
26145,3.0,250.2,2.7486428210000002,1145
26147,1.0,226.1,2.295390467,429
26155,4.0,133.1,0.982366097,167
26159,2.0,125.5,1.086895197,60
26161,2.0,488.4,5.344050245,1387
26163,1.0,2974.4,25.26638052,41494
27003,1.0,782.1,8.007987448,185
27013,3.0,85.6,1.526101555,0
27019,1.0,256.9,2.3437101190000003,0
27037,1.0,709.0,9.628764472,218
27053,1.0,2081.7,28.5051245,4315
27109,3.0,220.8,3.537078215,150
27123,1.0,3341.6,12.45311725,552
27131,4.0,129.4,1.505640971,21
27137,2.0,32.0,4.521110091000001,250
27139,1.0,364.5,3.3357315819999998,34
27141,1.0,204.4,2.173620196,3
27145,3.0,112.2,3.604503082,11
27163,1.0,619.7,5.866597197999999,198
27171,1.0,188.5,3.086040028,27
28033,1.0,338.7,6.033121717,107
28035,3.0,160.7,2.487356229,209
28047,2.0,326.0,6.850207431,181
28049,2.0,282.0,7.859092325,172
28059,2.0,193.2,4.7494661030000005,202
28067,4.0,97.5,2.269402618,23
28075,5.0,114.1,2.496671053,539
28081,5.0,184.3,2.8243473189999997,128
28089,2.0,133.2,3.501511788,163
28121,2.0,182.6,5.10167251,125
29019,3.0,237.3,3.584555955,51
29021,3.0,218.6,1.7637715919999999,33
29031,3.0,130.8,1.56825941,30
29037,1.0,142.8,2.090016865,153
29043,2.0,137.6,1.7321487219999998,0
29047,1.0,558.6,4.906025543,48
29051,3.0,193.0,1.529288404,33
29071,1.0,110.0,2.064447742,245
29077,2.0,407.5,5.813251455,312
29095,1.0,1115.3,13.945666099999999,366
29097,3.0,183.9,2.40230267,0
29099,1.0,333.1,4.467566872,150
29165,1.0,212.6,2.050806894,0
29183,1.0,643.2,7.949169274,809
29187,4.0,144.6,1.328080919,32
29189,1.0,1967.2,19.8528104,3367
32003,1.0,247.3,32.35984935,5032
32031,2.0,66.9,6.753359487000001,691
34001,2.0,494.1,2.443186747,820
34003,1.0,3884.5,8.621942141,26783
34005,1.0,561.9,4.099613403999999,2588
34007,1.0,2321.5,4.667486406,3032
34009,3.0,386.9,0.851984392,486
34011,3.0,324.4,1.389647663,263
34013,1.0,6211.5,7.361592497999999,27148
34015,1.0,895.3,2.682314908,933
34017,1.0,13731.4,6.222919407000001,17650
34019,1.0,300.0,1.147951399,651
34021,2.0,1632.2,3.4039887660000003,4748
34023,1.0,2621.6,7.636977859,12641
34025,1.0,1344.7,5.719359445,8041
34027,1.0,1069.8,4.549206378,9559
34029,1.0,917.0,5.537999802000001,8847
34031,1.0,2715.3,4.632803204,11178
34033,1.0,199.1,0.576276868,229
34035,1.0,1071.7,3.0482558269999998,5821
34037,1.0,287.6,1.29600854,2294
34039,1.0,5216.1,5.136823401,14666
34041,2.0,304.5,0.973660945,1664
35001,2.0,570.8,13.27974094,869
35005,5.0,10.8,1.265731392,16
35025,5.0,14.7,1.362037254,0
35031,5.0,13.1,1.414455663,323
35035,4.0,9.6,1.306664319,0
35043,2.0,35.5,2.840631604,287
35045,3.0,23.6,2.446642404,802
35049,3.0,75.5,2.936056977,2
35061,2.0,71.8,1.49596932,5
36001,2.0,581.9,2.608785015,905
36007,2.0,284.2,1.628034681,476
36009,4.0,61.4,0.6527122910000001,0
36011,4.0,115.7,0.655303093,29
36013,4.0,127.2,1.086769362,100
36015,3.0,218.1,0.715690023,30
36019,5.0,79.1,0.6854583329999999,94
36027,1.0,373.9,2.4949680969999997,892
36029,1.0,881.4,7.812492129,5371
36045,3.0,91.6,0.9492954459999999,0
36051,1.0,103.5,0.537077564,128
36053,2.0,112.2,0.6013634379999999,156
36055,1.0,1132.6,6.306896216,2733
36059,1.0,4704.8,11.53835465,41869
36063,1.0,414.4,1.787509181,472
36065,2.0,193.7,1.950126621,313
36067,2.0,600.0,3.922805963,708
36069,1.0,167.6,0.933232471,126
36071,1.0,459.3,3.2444574719999997,7734
36075,2.0,128.3,1.001476752,73
36079,1.0,432.9,0.840031544,245
36083,2.0,244.4,1.354369509,304
36087,1.0,1795.9,2.7665946060000004,12224
36089,4.0,41.8,0.917798085,0
36091,2.0,271.1,1.9551043590000001,251
36093,2.0,756.6,1.3196102859999999,526
36101,4.0,71.2,0.813732777,779
36103,1.0,1637.4,12.58104639,28561
36105,4.0,80.1,0.64131276,493
36109,3.0,214.0,0.87316833,0
36111,3.0,162.3,1.517097376,714
36113,3.0,75.8,0.545894786,0
36117,1.0,155.3,0.765042683,15
36119,1.0,2204.7,8.219316046,25019
37001,3.0,356.5,1.795215156,23
37019,2.0,126.8,1.47495074,56
37021,2.0,362.9,2.794741718,111
37023,2.0,179.3,0.974880051,198
37025,1.0,492.1,2.279581109,233
37027,2.0,176.1,0.8847827640000001,0
37031,4.0,131.3,0.749901094,70
37035,2.0,387.1,1.7112552269999999,35
37037,2.0,93.1,0.7888932759999999,133
37045,4.0,211.3,1.053220361,43
37049,3.0,146.0,1.110031376,83
37051,2.0,489.7,3.584584182,160
37057,2.0,294.7,1.797135103,133
37063,2.0,935.7,3.41641624,344
37067,2.0,859.2,4.0890448610000005,149
37069,1.0,123.3,0.72871696,351
37071,1.0,578.8,2.4036657740000003,99
37081,2.0,756.4,5.756281528,592
37085,4.0,192.7,1.447661605,164
37089,2.0,286.1,1.259269503,398
37097,1.0,277.8,1.9246389990000001,113
37101,1.0,213.4,2.186096949,332
37109,1.0,262.7,0.9035615709999999,0
37119,1.0,1755.5,11.79905582,1038
37125,4.0,126.5,1.06440567,145
37127,3.0,177.3,1.0140771720000001,51
37129,2.0,1058.1,2.5053582469999998,59
37133,3.0,233.1,2.132252143,42
37135,2.0,336.2,1.575079211,271
37147,3.0,257.9,1.9405918169999998,48
37151,2.0,181.1,1.546215289,82
37155,4.0,141.3,1.421958045,56
37157,2.0,165.6,0.978202207,65
37159,1.0,270.7,1.523682877,459
37161,4.0,120.2,0.720799875,118
37171,4.0,138.4,0.7760468890000001,0
37179,1.0,318.7,2.544555367,197
37183,1.0,1078.8,11.78184101,294
37191,3.0,221.7,1.329379927,187
37193,6.0,91.9,0.73947082,37
37195,4.0,220.6,0.878591474,158
39003,3.0,264.2,1.7038128940000001,410
39007,4.0,144.6,1.61801068,243
39009,4.0,128.6,1.092326905,39
39013,3.0,132.3,1.120324649,147
39017,1.0,788.2,6.346011384,137
39023,3.0,348.0,2.233595924,27
39025,1.0,436.5,3.409949252,63
39029,4.0,202.7,1.703846086,523
39035,1.0,2800.0,20.64326578,2373
39041,1.0,393.2,3.3993277010000003,100
39043,4.0,306.4,1.2383234379999999,85
39045,1.0,289.8,2.585385,49
39049,1.0,2186.1,21.74596529,1470
39055,1.0,233.4,1.56055473,266
39057,2.0,390.5,2.788074059,92
39061,1.0,1976.7,13.55382883,1463
39063,4.0,140.7,1.260147405,27
39081,3.0,170.7,1.0914805,18
39085,1.0,1011.2,3.8256501889999996,223
39089,1.0,243.9,2.917092706,138
39093,1.0,613.6,5.135868248,604
39095,2.0,1296.2,7.134678114,1976
39099,2.0,580.2,3.811178327,1906
39101,4.0,164.7,1.082999856,91
39103,1.0,409.0,2.973137982,365
39109,2.0,252.1,1.7628786730000001,763
39113,2.0,1159.5,8.834657292000001,259
39119,4.0,129.5,1.430307965,0
39133,2.0,331.2,2.703964655,903
39139,3.0,251.3,2.009779936,37
39141,4.0,113.3,1.276760174,17
39145,4.0,130.3,1.253044243,0
39151,2.0,652.9,6.166706332,990
39153,2.0,1312.6,8.993764801000001,1095
39155,2.0,340.1,3.296448025,692
39157,4.0,163.1,1.529768829,2
39165,1.0,530.0,3.85318324,229
39169,4.0,206.4,1.924608377,535
39173,2.0,203.3,2.169053407,408
40017,1.0,128.9,4.5791309280000005,88
40027,1.0,474.7,8.929221301,799
40031,3.0,116.1,3.817511645,24
40037,2.0,73.6,2.269926623,151
40101,4.0,87.6,2.1671516090000003,126
40109,1.0,1013.8,25.12573296,876
40119,4.0,113.0,2.6007594569999997,13
40125,4.0,88.2,2.304005322,106
40131,2.0,128.6,2.915995343,70
40143,2.0,1058.1,20.55373478,848
40145,2.0,130.1,2.539576306,333
41003,3.0,126.6,1.340621751,130
41005,1.0,201.0,6.05638587,195
41017,3.0,52.3,2.794692932,0
41019,4.0,21.4,1.6052788630000001,0
41029,3.0,73.0,3.195972619,0
41033,3.0,50.4,1.272092124,26
41035,5.0,11.2,0.9847567709999999,0
41039,2.0,77.2,5.525616047000001,64
41043,3.0,50.9,1.8534877,200
41047,2.0,266.7,5.0490090830000005,476
41051,1.0,1704.9,11.81772171,1019
41053,2.0,101.8,1.240665729,44
41059,4.0,23.6,1.128322555,6
41067,1.0,731.4,8.700045792000001,328
41071,1.0,138.6,1.557520641,212
45003,2.0,149.5,2.299051342,135
45007,2.0,261.6,2.7208718430000003,204
45013,3.0,281.5,2.561174219,276
45015,2.0,161.8,3.0005700089999996,183
45019,2.0,382.3,5.508801216,156
45031,3.0,122.4,0.9066134659999999,23
45035,2.0,238.2,2.180245104,50
45041,3.0,171.1,1.875045804,361
45045,2.0,574.7,6.97871965,614
45047,4.0,153.2,0.9600722009999999,0
45051,2.0,237.5,4.670643161,408
45055,2.0,84.9,0.890191767,270
45057,1.0,139.6,1.294464123,75
45059,2.0,93.2,0.909219223,35
45063,2.0,375.4,4.004071495,365
45073,4.0,118.6,1.063664617,0
45075,4.0,83.6,1.1798379540000001,20
45077,2.0,240.2,1.695601428,8
45079,2.0,507.9,5.626481006000001,700
45083,2.0,351.9,4.259978557,217
45085,3.0,161.6,1.4455437480000002,245
45091,1.0,332.2,3.720233975,104
47001,2.0,222.8,1.299175334,30
47009,2.0,220.2,2.231183558,93
47011,3.0,301.0,1.812937499,24
47037,1.0,1243.3,11.76475441,714
47059,4.0,110.6,1.173558828,60
47065,2.0,620.3,6.188010062,413
47093,2.0,850.5,7.9037158,139
47113,3.0,176.4,1.657984996,18
47119,1.0,132.0,1.6025234819999998,0
47125,2.0,319.6,3.498406945,65
47141,4.0,180.3,1.339280887,88
47147,1.0,139.2,1.2062581890000001,0
47149,1.0,424.0,5.518802779,262
47155,4.0,151.7,1.662860173,22
47157,1.0,1215.5,15.89552453,1252
47163,2.0,379.4,2.678256014,35
47165,1.0,303.4,3.1790403560000002,1011
47179,3.0,376.7,2.184606079,8
47187,1.0,314.4,3.9363065930000003,213
47189,1.0,199.7,2.388752011,74
48005,5.0,108.8,1.5869751930000002,0
48021,1.0,83.5,1.584861461,49
48027,2.0,295.2,6.480446327,104
48029,1.0,1383.1,36.18943754,1271
48037,3.0,104.6,1.7187554319999998,46
48039,1.0,230.7,6.745719657,122
48041,3.0,332.8,4.1319446189999995,475
48061,2.0,456.0,7.72437744,303
48085,1.0,930.0,18.31559462,467
48091,1.0,193.9,2.7036268569999997,190
48099,2.0,71.7,1.3631382930000002,30
48113,1.0,2718.0,48.06502007,2347
48121,1.0,754.3,15.65371397,561
48135,3.0,152.8,2.954195175,97
48139,1.0,159.9,3.2696514110000003,138
48141,2.0,790.6,15.32014524,319
48157,1.0,679.5,14.35621069,602
48167,1.0,769.9,6.156972487000001,548
48181,3.0,129.6,2.441560569,0
48183,3.0,445.4,2.254167319,0
48187,1.0,184.9,2.98280344,0
48201,1.0,2402.4,85.61741369,2703
48203,4.0,72.9,1.215869502,122
48209,1.0,231.7,4.056743147,24
48213,4.0,89.9,1.499637985,0
48215,2.0,493.2,15.77898902,110
48231,1.0,102.5,1.758278571,57
48245,2.0,287.9,4.646583626,422
48251,1.0,208.3,3.122510173,70
48257,1.0,132.4,2.34372759,8
48291,1.0,65.3,1.572962609,4
48303,2.0,311.3,5.601607702000001,997
48309,2.0,226.5,4.639404226,110
48329,3.0,152.0,3.1446861339999996,139
48339,1.0,437.5,10.767732,292
48347,5.0,68.2,1.19737435,182
48355,2.0,405.8,6.6011294739999995,40
48361,2.0,245.3,1.522834368,12
48367,1.0,129.4,2.521372163,0
48375,2.0,133.3,2.180204931,154
48381,2.0,132.4,2.48310633,79
48397,1.0,616.7,1.83415425,23
48409,2.0,93.5,1.218912547,0
48423,3.0,227.6,4.195046799,92
48439,1.0,2094.7,37.99124805,1505
48441,3.0,143.6,2.508052009,91
48451,3.0,72.4,2.1536192880000002,29
48453,1.0,1034.4,22.75437656,950
48469,3.0,98.4,1.6770456740000002,60
48471,4.0,86.5,1.320717884,30
48479,2.0,74.5,5.027583767,392
48485,3.0,209.5,2.406447112,40
48491,1.0,378.0,10.32665451,199
48497,1.0,65.4,1.244641764,43
